feature,real_mean,fake_mean,mean_diff,p_value,effect_size,significant
MFCC_10_std,8.874166198306613,11.339194724294874,-2.465028525988261,4.570336950492916e-259,-1.247103872640586,True
MFCC_11_std,8.12320292962922,11.050258453422122,-2.9270555237929017,2.2121115403273826e-239,-1.1904654140332562,True
MFCC_12_std,7.54462701174948,9.314528349240621,-1.7699013374911416,2.221105883539783e-187,-1.0338427184450598,True
MFCC_13_std,7.20336469941669,9.136460801230536,-1.9330961018138453,1.1379345348190815e-226,-1.1532091730006926,True
MFCC_14_std,7.5016945441563925,7.828102918730842,-0.3264083745744495,1.0641647207231583e-07,-0.17754116523227872,True
MFCC_15_std,7.11213710308075,7.813388169871436,-0.7012510667906859,5.505369774728797e-39,-0.4406071261090638,True
MFCC_16_std,7.0511169264051645,7.110221416155497,-0.059104489750332334,0.24925112904316818,-0.03841188632211206,False
MFCC_17_std,6.368863476514816,7.809028865496318,-1.4401653889815016,1.5029390279131872e-159,-0.9443134940739529,True
MFCC_18_std,6.511708457337486,6.312730700837241,0.19897775650024485,3.986423850631915e-06,0.1539745241364369,True
MFCC_19_std,5.768998266855876,7.148663544787301,-1.3796652779314247,6.413871440781895e-190,-1.0417814529761986,True
MFCC_20_std,5.695917560391956,6.540881816281213,-0.8449642558892574,9.54884762551986e-76,-0.6287117131762556,True
Chroma_mean,0.3746278248975674,0.4152923930436373,-0.04066456814606989,4.961527748051219e-90,-0.6900197744102896,True
Chroma_std,0.31555006495780413,0.3536375140150388,-0.03808744905723466,0.0,-2.5857151434547276,True
SpectralCentroid_mean,1682.62594309888,1454.9738404186655,227.6521026802145,5.82082504662619e-56,0.53458564816733,True
SpectralCentroid_std,827.969738922785,901.7814254156629,-73.81168649287781,1.4181267336848177e-22,-0.32808811382557085,True
SpectralBandwidth_mean,1664.179976991537,1823.0673622506558,-158.8873852591189,2.0226544058606947e-71,-0.6091725287221286,True
SpectralBandwidth_std,407.36315454349005,546.2958892358205,-138.93273469233043,5.67648759986411e-197,-1.063652641874392,True
SpectralRolloff_mean,3388.881290377103,2826.536077411358,562.3452129657453,3.633267641586903e-77,0.6350165494096606,True
SpectralRolloff_std,1441.2603969566958,1783.4902511214316,-342.2298541647358,8.460096890987472e-207,-1.0937154899993162,True
ZCR_mean,0.09009731403579059,0.05229655156583868,0.03780076246995191,7.164606697450348e-236,1.180233825253134,True
ZCR_std,0.06741182330483517,0.06035250237889637,0.007059320925938799,1.2176123250199706e-18,0.2953823637410274,True
RMS_mean,0.0686057454505418,0.10773514340114262,-0.03912939795060083,6.191518284748448e-298,-1.3558464257341547,True
RMS_std,0.04592327195038605,0.0879590381619831,-0.04203576621159705,0.0,-2.2736663478533266,True
Contrast_band1_mean,22.938282620451147,20.296120832056275,2.6421617883948727,2.0406585101496257e-81,0.6535981239545258,True
Contrast_band2_mean,14.828343718506448,16.271699275503252,-1.4433555569968046,5.270546228152517e-131,-0.8464928192304029,True
Contrast_band3_mean,17.19566894944019,18.288574242028588,-1.092905292588398,6.181949753937464e-102,-0.7380160187950586,True
Contrast_band4_mean,15.83525323199366,16.285414124189597,-0.450160892195937,3.351507856762622e-29,-0.3772314218444088,True
Contrast_band5_mean,16.84393993938501,17.014288282859713,-0.1703483434747035,4.934030592512997e-06,-0.15248403793186252,True
Contrast_band6_mean,17.890593579851085,18.450464637277094,-0.5598710574260082,7.834752302258758e-23,-0.3301251533943194,True
Contrast_band1_std,5.704987688973526,5.940978458845499,-0.23599076987197254,1.222655419007071e-11,-0.22665577425366373,True
Contrast_band2_std,5.0404289706106065,6.759698887840277,-1.7192699172296706,0.0,-2.1634905205664956,True
Contrast_band3_std,4.949571832556442,6.585968429187103,-1.6363965966306608,0.0,-1.9848669269750665,True
Contrast_band4_std,3.4797733940388933,4.8304155497313275,-1.3506421556924342,0.0,-1.901108139542745,True
Contrast_band5_std,3.044787057562846,3.556775228836565,-0.5119881712737189,3.6709739810676557e-106,-0.7544913313658029,True
Contrast_band6_std,3.1982549674915575,4.220917174019654,-1.0226622065280964,4.7420226564530694e-178,-1.0043676013630034,True
Tonnetz_1_mean,-0.0021011960104240423,-0.0019196020880168608,-0.00018159392240718153,0.801691619283156,-0.008372566241989097,False
Tonnetz_2_mean,-0.0016367460156203458,0.0024268081677115,-0.004063554183331846,1.7914315847803673e-08,-0.18812820989947415,True
Tonnetz_3_mean,-0.001560206842588308,-0.013313089963911846,0.011752883121323538,3.7588962694651035e-18,0.2910734335870985,True
Tonnetz_4_mean,-0.002701114608495744,0.006425507858285603,-0.009126622466781347,1.2162451815949952e-11,-0.22668134222068706,True
Tonnetz_5_mean,0.0020509922451715664,0.001759699526964945,0.0002912927182066214,0.5031347958214938,0.022321097127823316,False
Tonnetz_6_mean,0.001391853762714743,0.0027912050480599217,-0.0013993512853451788,0.0015684546222810016,-0.10547092801786832,True
